user_id,recommended_items
22107,2251758 986950 457843 484085 1754448
22206,274885 2730927 787368 1096094 976879
22591,1834588 1880316 1328711 2364286 2717625
22728,2778525 1244196 1386412 657183 2791339
23229,1908731 2778525 1244196 1386412 657183
23361,243343 815404 2382705 291687 1710715
23459,2313955 1391091 537780 659969 1716359
23667,1274654 2741322 1504118 473889 410738
23718,1149693 2257200 1443706 266412 1808280
24419,2778525 1244196 1386412 657183 2791339
24465,859700 657183 2584486 2500175 80271
25906,265564 273337 366083 1017315 1303564
26038,1689895 81964 2257516 1304222 665666
26658,1595372 596831 47583 2694051 1487715
27187,314274 2314914 62452 230373 2278233
27501,250398 760563 860191 990589 1666119
27638,1524219 2257514 433379 21388 393952
27707,384116 194778 1967011 34232 1003125
27727,1809836 2680669 109925 1140869 2750341
27845,784737 1244196 536047 1053542 657183
27931,769814 2704587 133371 350350 802743
28232,1340660 2698338 120395 291669 1765174
28739,2121581 806981 114894 223250 770827
28801,1758920 2130753 282824 960193 1975922
28972,1452579 1007361 2227010 1994344 2362712
29072,1074013 340121 1407200 1776696 1086695
29146,1243037 1900852 447312 1377249 2192350
29212,2073499 2054114 617858 612155 143830
29340,714309 186524 2337857 1483270 88915
29449,557005 1407200 209611 340121 712901
29519,1162250 343377 784737 2791339 1386412
30094,1541384 1168589 1014151 35505 478401
30368,2778525 1244196 1386412 657183 2791339
30774,2778525 1244196 1386412 657183 2791339
30910,1165605 350611 2215624 1695664 1531150
31318,1682300 1132612 1527663 241272 1300183
32111,2778525 1244196 1386412 657183 2791339
32371,282824 147908 517620 941986 876063
32434,2618175 1765833 830372 916670 1636910
33119,2778525 1244196 1386412 657183 2791339
33317,2080213 2164654 2040236 22987 1876143
33492,18386 924377 2458486 2597653 2667620
33552,1015502 1259502 1719302 2098158 1125324
33704,784737 1386412 1244196 1443706 2313894
35125,436637 2496018 2078554 2036870 787160
35517,1770648 774818 2801020 1693312 2049850
35752,741927 2087623 1196465 1346017 2350332
36049,349988 1900229 1635575 2251704 398787
36125,2751339 1182126 1188664 2108056 2150511
36396,2778525 1244196 1386412 657183 2791339
36940,2546303 2257516 1689895 2595466 665666
37187,1590528 675243 2376471 714376 878016
37351,958759 2053600 931904 1055980 1261177
38059,2194493 1600861 2128013 2532918 2818143
38189,1040704 667505 849943 1274752 2069813
38365,2680669 2459081 668146 1809836 118687
38481,17132 940554 2735795 2552884 1406238
38730,1330328 2705759 2218230 2625619 1351818
38944,2827386 2398188 2434102 2192713 2365011
39189,2778525 1244196 1386412 657183 2791339
39773,994434 1098993 1139749 1056354 2009153
39778,2157670 1563760 542825 2336274 1040146
40141,1053542 2310939 1244196 1241609 79531
40180,565050 744459 641200 1144348 1306320
40246,439558 274172 799403 2125001 1194695
40468,1613050 161945 465997 499544 1417798
41309,2778525 1244196 1386412 657183 2791339
41345,616631 1340384 1519327 1715993 1717385
41383,1739253 190665 404559 593769 958406
41403,2603642 514419 2712481 1140869 1241464
41629,988899 464395 1869873 778416 177346
41649,2024094 2648928 103079 1886939 47583
42051,918665 100398 184768 1049685 1241941
42321,2778525 1244196 1386412 657183 2791339
42617,1025299 258349 789804 1604573 1438082
42912,659969 1716359 2609595 2800967 205017
43088,2679423 1940597 2110703 2228955 2440845
43399,951466 1299396 1417895 2243184 2328702
43444,2778525 1244196 1386412 657183 2791339
44628,1022841 1330328 2564347 1290492 2336782
46074,2778525 1244196 1386412 657183 2791339
46106,2543838 1184304 824996 695196 867170
46377,430533 968392 778416 797433 81564
46391,1254543 1125616 866686 1226070 886874
46874,1809836 657183 1244787 2750341 2680669
47353,2705558 952054 276159 2454484 977056
47387,617661 1396688 890726 476656 1383920
47475,657183 1092821 343377 1162250 536047
47662,2241130 1332465 1626821 1314105 2034234
48463,2778525 1244196 1386412 657183 2791339
48478,1828165 1998862 2771276 4499 732896
48675,1186797 1498369 22865 354325 1747247
48789,2051097 2165626 1843 1370327 2079907
49239,1216431 628817 1726380 2450794 1310205
49334,453607 516723 1515138 2232175 2061955
49418,657183 1386412 343377 1984327 1092821
49794,560550 2480870 582798 680021 747435
50754,2784346 503355 47288 85154 638518
50874,593816 1830651 2503726 926265 26133
51289,741480 102006 1996291 260984 669126
51380,2415019 746387 698130 344656 592905
51416,2717170 381727 775484 2689908 1971103
51445,2186158 934906 933698 2548905 1854409
51851,423759 2740053 9269 419239 812000
52067,816581 1118736 1741767 2321476 1126490
52207,2183922 1857507 2400469 925131 2140236
52730,266412 1244196 468120 1162250 343377
52831,1984327 657183 1386412 343377 784737
53121,1359640 2367518 1238752 1553155 22825
53574,592559 973448 186124 1776696 1782499
53638,1194598 1936328 2113458 720941 1648103
53677,758113 2786340 59320 1611635 522634
53760,97392 2250299 1808597 1212042 2396028
53874,882380 20049 1687807 1874092 1309101
54382,1386412 1092821 625711 657183 1244787
55261,2711318 584626 1951733 1419600 2777593
55358,783982 2182050 2020029 1438622 1855206
55450,2747710 638203 191970 207382 740200
55534,2778525 1244196 1386412 657183 2791339
56110,612155 1585675 1414197 2336701 1795364
56216,468120 1679143 2459081 668146 836451
56227,951920 2049946 1194436 1627875 815376
56317,1042576 1438082 1767343 685748 2614674
56439,1472192 521436 704184 904790 1014514
57013,1069281 2313894 657183 266412 1162250
58197,1092821 1386412 2198329 1119495 536047
58250,1011848 929038 2262010 2811292 787130
58548,2164654 2374912 1957151 623544 669669
58600,1595372 47583 79531 278589 381044
58624,2778525 1244196 42452 538069 2031981
58695,2817943 1450886 2149399 854455 379714
58784,2778525 1244196 1386412 657183 2791339
58798,2778525 1244196 1386412 657183 2791339
58833,1695664 2698468 1519543 350611 999151
59104,1834588 1784466 1981118 1106285 1684546
59135,165162 988691 659571 2738174 1520888
59546,1866241 2439025 2624682 2008598 2662501
59782,2492753 211952 245716 517706 550345
59842,2106311 657183 2791339 2423978 1162250
60155,944507 1870216 77922 2027876 1930815
60471,656507 2368632 103079 2593290 1733199
60496,2778525 1244196 1386412 657183 2791339
61016,1053542 823512 1244196 2310939 1241609
61298,388420 608097 1097917 1721100 2219682
61873,2047663 1072125 533554 1991526 597331
62808,2311743 2635463 215392 290404 876278
62908,1162250 1443706 2591944 2796479 1244196
62914,2778525 1244196 1386412 657183 2791339
63061,1301316 1794685 636889 1456599 1576725
63163,191281 289273 1347460 111250 1086171
63322,2832110 2699201 1225652 368950 1676367
63597,952835 568926 962855 1453462 2150649
63753,1857507 925131 1124220 2400469 57031
63872,2084657 820019 2643805 437729 935420
64303,657183 784737 1386412 343377 536047
64930,1001511 82678 84249 527698 1115673
65592,723096 967007 665194 1361956 2348229
66592,590874 1995511 1098890 289761 795787
66908,221434 461881 789181 1814179 2067346
67173,1824527 1301429 1861415 1846980 1931528
67354,1273362 2501141 285167 1876667 2115873
67659,1438328 2032884 274499 388384 1854085
67705,1878292 457843 1820087 176021 2770160
67752,2778525 1244196 1386412 657183 2791339
67939,349653 2451675 696169 244633 275226
69088,2778525 1244196 1386412 657183 2791339
69418,1043911 2182050 18386 924377 2458486
69428,665194 967007 2371498 1502246 2249067
69757,183374 1900952 1080935 1939406 2484384
70134,1386412 657183 784737 1162250 1092821
70534,5518 13989 19469 215403 567126
70547,333366 1926006 2305111 59721 1155556
70649,1069281 468120 2313894 657183 1679853
70855,1549837 2265526 1051740 1864723 1596007
71226,416231 743905 972984 1432905 1546630
72027,2353541 2391945 612155 2049946 522659
72461,666889 457843 392426 1112235 1563273
72570,53378 103803 661506 1240553 18872
73454,2453690 1678673 2736269 1287323 851798
73471,1626821 1332465 1314105 2034234 2492063
73525,1372395 2754205 2785201 2794756 918665
74032,2778525 1244196 1386412 657183 2791339
74663,1788462 839657 196678 45637 2720106
75611,882543 1376058 1835742 291669 2760857
76103,731 2011456 116763 1391673 2252836
76608,1354178 2663421 469701 1174393 1533796
76720,657183 536047 1162250 343377 238571
77440,77066 802341 1413065 2333720 2398650
77641,1244196 1069281 1047625 2796479 784737
77738,2705255 2039257 2133932 317172 2347349
77942,2778525 1244196 1386412 657183 2791339
77992,1637070 417788 1612593 1701345 231858
78016,1398399 2112096 1126753 2235265 507102
78100,2800658 718372 441864 1465161 712284
78298,2778525 1244196 1386412 657183 2791339
78784,770613 2733672 265522 714105 1557892
79349,2296112 262552 1643381 2200718 39524
79426,1094501 1390420 692294 1163639 1391858
79738,1012298 1149548 46507 331730 519609
79802,1619241 1140869 943916 2471983 1928254
80026,1386412 657183 1984327 343377 1092821
80113,2778525 1244196 1386412 657183 2791339
80743,2323368 450722 791444 2589105 1069281
80933,1233361 353713 293317 1768388 2833960
81213,1521292 1700809 1140869 18386 924377
81342,323022 395053 290587 1270529 161817
81375,2778525 1244196 1386412 657183 2791339
82204,1752047 291669 1907046 1726537 244777
82500,318963 1236845 2299750 1754494 1817632
82645,2088166 1874092 186124 2062952 2699781
82778,2778525 257339 1040073 2310379 2072441
82848,2778525 1244196 1386412 657183 2791339
82953,266412 1244196 2796479 1679143 657183
83200,2251758 1407200 1820087 1776696 557005
83840,293317 565593 2649322 1092821 2823598
84028,557698 2002097 654547 1345329 192728
84579,1714427 408560 699463 1930115 2044645
84814,2778525 1244196 1386412 657183 2791339
84989,876529 1844001 816307 2192679 1384921
85006,727382 1036456 1091499 1111139 1245050
85011,2183022 605165 969775 569351 1350991
85432,1200295 1259145 1331217 2107610 5506
85921,445231 585801 2614865 57388 2459081
85958,2778525 1244196 1386412 657183 2791339
85991,1879708 2278924 59733 1414730 1189720
86194,1642285 1741887 13116 207552 591008
86285,1047625 1679143 2459081 468120 668146
86316,931252 1577713 2482754 2014155 243350
86856,16306 260125 560881 1323099 1348274
87127,2778525 1244196 1386412 657183 2791339
87569,499178 1074013 186124 2632099 1776696
87622,2024094 1140869 134458 984114 1244196
87629,472040 723096 665194 2371498 967007
88090,116922 162073 347954 829340 853299
88699,357345 2405262 2500091 2088166 1164968
89595,2778525 1244196 1386412 657183 2791339
89700,300053 1971458 1028918 535530 1521222
90134,462493 2124560 2171176 2768923 307743
90275,2423575 1013503 1037995 1126878 25162
90552,1907638 1751372 649120 2222005 1869729
90609,2024094 1283135 1165605 1189146 134458
90615,1244196 657183 784737 1162250 1679143
90733,562726 1492887 1898849 1052097 1588444
91295,1702063 2546303 224352 2107561 2507090
92019,770613 2672526 2111288 2463916 1262409
92182,2778525 1244196 1386412 657183 2791339
92343,317172 2221762 2650926 2705255 1079784
93312,2778525 1244196 1386412 657183 2791339
93887,1083431 1271200 1588847 1497556 1189784
93930,251069 321361 2005840 744840 973863
94336,2570264 2054897 708734 1290281 2816162
94417,2002097 1386412 2593483 2198329 784737
94548,2778525 1244196 1386412 657183 2791339
94665,2088166 2699781 1072125 2623483 2716169
94805,2796479 657183 1069281 1443706 2313894
94918,367278 2633505 230632 374266 1977993
94945,1612436 1817563 132983 571507 1399407
95321,198152 237303 279917 1002256 1159070
95619,2778525 1244196 1386412 657183 2791339
96109,784737 2120398 71756 1270996 1386412
96164,977979 760311 2086041 303593 2760857
96187,1244196 139004 2459081 1069281 657183
96756,2778525 1244196 1386412 657183 2791339
97135,2167980 429123 1867675 2253228 1755502
97204,2595899 1288592 986700 893084 2597076
97375,986950 484085 244777 1910662 1590432
98005,1058822 1967674 2552860 2565156 1545735
98174,2778525 1244196 1386412 657183 2791339
98287,129847 519950 2168309 2290678 1517024
98458,1797481 657183 2259324 292139 347246
98716,2348573 660656 2200859 1608366 2705558
99109,1007911 2548255 388178 99612 143512
99155,332313 1061502 2460146 2773641 547890
99208,1636910 1165605 1765833 916670 830372
99598,2778525 1244196 1386412 657183 2791339
99751,1331898 666394 1066450 547724 1294471
99972,2774815 55094 533928 1538496 1081513
100399,452539 964496 1001225 1036651 2398134
100521,36302 1722257 1084400 2621336 1014896
100803,2123151 2588187 1446413 914591 1432589
101222,908778 394095 1485172 378726 774818
101236,2813646 2574941 436637 711944 1794685
101276,1005644 947360 148278 1590644 2056740
101454,316689 428736 439659 1052249 2120393
101666,650831 2031981 2420135 468120 1244196
101774,104283 2124761 1351265 2329202 1082580
101857,2778525 1244196 1386412 657183 2791339
102002,2778525 1244196 1386412 657183 2791339
102545,561169 10497 35008 46364 84276
102885,1749097 1472220 1158707 1187287 183271
103027,1625432 1734195 2127017 1529488 2768702
103310,1959710 323630 596844 1576930 1913668
103669,168373 2044826 2459081 1975390 1198522
104001,1047625 1069281 266412 657183 2313894
104796,823247 293564 570039 889779 1556262
104965,1629741 1533363 527751 459521 295970
106202,2778525 1244196 1386412 657183 2791339
106391,2005093 26133 1288592 986700 118588
107447,224560 312101 895087 1125071 2241315
107528,2803305 157215 840580 987162 2317069
107952,2778525 1244196 1386412 657183 2791339
108109,2200859 2778525 1285047 1244196 657183
108891,212518 305915 497948 696503 854322
108961,2778525 1244196 1386412 657183 2791339
109308,2106586 2214938 2456195 53591 127153
109548,2150649 2206085 2326501 491504 2663960
109646,882543 892333 1835742 1686571 2086041
109809,1254405 1428918 1570312 1948918 260243
110004,2271101 323364 708837 1450645 408209
110221,2778525 1244196 1386412 657183 2791339
110636,2142637 4285 195162 607851 959862
110951,844177 1498850 782207 2287074 2399276
111479,623544 669669 1299396 1417895 2243184
111602,1648491 579230 1090018 2252536 1650710
111836,1964538 657453 186275 576580 1274062
113405,2778525 287676 823512 161817 335731
113510,657183 784737 1386412 1162250 1096406
113784,20551 1977219 2319886 12160 2454281
113942,2432821 611656 704752 1613292 1339242
114764,546243 1256874 69520 429608 2415611
115337,1244196 2545674 42452 823512 508676
115389,2778525 1244196 1386412 657183 2791339
115642,2532 1624107 1380447 959837 2342664
115791,685185 2313894 2466095 2031981 1244196
116228,1506892 1300658 1219939 629289 1856885
116670,1326656 1645351 853099 1007361 1541004
116847,1053542 2778525 1156803 1129899 823512
116871,2414830 1301817 220307 1224804 2784923
117095,1048520 2680669 1809836 2459081 1679143
117355,394095 378726 1054489 1028918 878413
117952,2106311 657183 2791339 2423978 1162250
118118,512040 55199 379806 1165223 1176133
118326,329308 796430 1000266 2778525 1244196
118441,2547974 1661018 1915573 2805041 1311146
118743,1153530 1774071 315406 1075316 1746915
119429,325084 1754173 736499 1196865 2257372
119526,2778525 1244196 1386412 657183 2791339
119952,2420135 2680669 2750341 2781618 1047625
120436,1386412 657183 2002097 2391945 604795
120617,1453795 237200 864280 1145024 1445003
121169,2062248 216920 426599 297700 2307541
121312,322323 665928 964360 1342995 1976074
121482,1808280 2712481 2501356 2594163 1889273
121594,1247117 1576126 319948 1641047 1362702
121611,657183 536047 343377 1162250 1386412
121662,291669 2086041 1244196 2200859 1285047
121757,781044 2176557 470079 1295570 2000569
122086,2778525 1244196 1386412 657183 2791339
122087,1162250 343377 784737 1443706 1244196
122260,509306 345430 1700653 2778525 1244196
122394,2778525 1244196 1386412 657183 2791339
122653,2778525 1244196 1386412 657183 2791339
122688,2778525 1244196 1386412 657183 2791339
122826,1206594 1838961 416609 1920764 1431191
122862,2001545 583779 1279819 7889 621803
123738,1190153 1145187 1188130 1883195 1242797
123936,479851 944141 757521 1370899 1469326
124188,823512 2778525 1053542 1640028 1156803
124399,357532 1081673 381720 173043 287913
124663,720941 822880 1486633 2299184 2611136
124833,2778525 1244196 1386412 657183 2791339
125035,391272 1767296 1944665 2082009 2270280
125163,1159981 401833 499071 2343746 2395772
125183,1514815 2275702 1982016 130558 1965452
125749,742386 373206 2309290 246007 336136
125921,922220 572494 1834881 1510306 166853
126548,1860035 1265391 1211072 48149 596793
126643,2018000 1669483 1838929 2113248 2148169
126771,2572476 1741651 1242418 423105 2464322
127238,2778525 1244196 1386412 657183 2791339
127260,290318 2181139 855529 2184430 1540534
127289,569889 2031981 266412 2313894 657183
127607,2139163 2253228 86217 350614 2716169
128258,2262097 1937463 741480 981073 968024
128444,1958413 482450 492668 624318 642270
128892,1702556 2080710 2312579 2591794 70803
129287,340121 1407200 557005 164623 712901
129582,2277811 93985 710260 1621790 1890052
129765,2391945 1447547 710727 2686239 2164559
130419,1605560 1525639 1461722 1733639 2438886
131287,448605 668146 1679143 2616493 468120
131400,931519 1080265 666889 277403 1654085
131843,1244196 657183 1047625 784737 1162250
131876,1244196 1069281 1047625 2796479 784737
132162,1125575 1859350 1528219 2533786 1007900
132303,723096 665723 1212859 665194 1772053
132458,657183 97350 536047 1162250 343377
133042,59567 1671781 357858 664240 1592726
133480,231075 1987689 826853 1333577 341401
134993,2778525 1244196 1386412 657183 2791339
135249,1999613 663635 86455 2093827 270673
135647,2543583 2699888 2698934 2127112 2715811
135701,317172 1079784 2750191 1669483 1838929
135905,657183 1443706 1162250 1244196 1092821
136018,664949 1164312 2032370 321197 2397283
136346,707286 1193409 2778525 1244196 1386412
136526,1117025 1284889 1344375 1584138 951360
136595,2771199 162451 1534276 2421983 848732
136741,623544 669669 1299396 1417895 2243184
136883,2031981 2466095 266412 1181698 1854085
137168,1147481 1762543 2007840 2746928 2401093
137251,1974596 417300 437085 493626 615074
137295,1504925 2778162 622008 1001431 637452
137522,243570 1477642 1567110 2024094 2734883
137940,912478 1295792 269418 285258 302708
138017,1173526 261467 2300134 1998881 1812156
138722,1244196 2103306 2698468 266412 1432568
138977,1250084 2263592 1687167 78664 852176
138982,220889 1244196 2625619 1151390 2103306
139306,1317915 90273 1254609 2750191 1290875
139725,695332 823512 1615234 1456855 715272
139968,1230754 936454 1481381 1741679 1265391
140225,2300595 2784642 1021972 1302933 1465313
140830,557005 1407200 340121 209611 712901
141431,2778525 1244196 1386412 657183 2791339
141434,1774879 2424693 42452 1038209 982359
141654,1228633 2449383 2672208 2556498 2681028
141923,300053 718582 1300183 104285 377881
142537,2778525 1244196 1386412 657183 2791339
142751,968865 1330328 2625619 1016374 1200077
142825,973448 7538 750056 1735586 177923
142969,337914 406606 1309002 2394612 189802
143178,2778525 1244196 1386412 657183 2791339
143537,272883 1941772 1303892 757521 1469326
144144,333993 1143465 286472 1239885 1403565
144191,133593 227314 1284451 1433930 320601
144636,2778525 1244196 1386412 657183 2791339
144643,1053542 823512 1244196 2310939 1241609
144750,1085691 172967 478232 1296566 183977
145381,122755 1419873 1575155 479095 770829
145533,2117401 901685 422508 515301 1149589
145734,1053542 2778525 1129899 1156803 823512
145853,2444635 1392400 18121 1423150 1274931
146193,2778525 1244196 1386412 657183 2791339
146199,1828649 489665 660416 2028954 2475940
146286,2778525 1244196 1386412 657183 2791339
147516,710280 219969 1510300 1672969 1676992
147664,245823 751897 1060634 1928209 2048794
148342,755642 67066 697373 1187287 1121886
148749,422888 1095870 2516254 1820087 1301429
148981,566295 1840607 2245226 2224136 1355739
149198,2778525 1244196 1386412 657183 2791339
149616,2778525 1244196 1386412 657183 2791339
150039,2385436 93985 710260 855088 1200407
150057,144549 2833516 1009151 2002097 1379611
150611,551066 568586 2553566 1292577 137428
150721,882552 1513065 2532514 2674953 204306
150852,694368 759844 420077 742769 974615
150854,638712 2462072 1176133 2814024 984924
150858,1113937 794163 604278 158526 2057312
150949,1984327 2106311 657183 1162250 13186
150980,1393293 336977 823117 2812822 1126688
151024,2743697 454939 1081513 55094 2001101
151528,2348875 2361766 799322 494504 2086265
151666,2778525 1244196 1386412 657183 2791339
151707,2298488 495604 2293024 341086 1557242
152067,2391945 2312162 604795 920520 2686239
152831,1132612 1663291 2569062 2753534 2786807
153486,1563169 759027 796124 1966333 2040540
153970,738013 952894 1210970 2185157 6289
154279,45572 2466179 555132 321197 114762
154525,196631 2580699 917047 165557 220211
154692,37276 2721344 717979 1615492 241107
155196,1269579 1698920 2240795 1823294 2047663
155704,859242 177287 646933 1184118 1114032
155734,2778525 1244196 1386412 657183 2791339
155750,1244196 1443706 1069281 657183 784737
156207,2608560 2429998 2627099 39150 319848
156682,2672526 770613 2490129 1056667 1733744
156731,452534 704186 999108 1334696 1459365
156890,135841 1197333 432717 462304 1633370
157018,882380 2358399 445302 1880316 1173914
157347,2596184 2637434 1583440 2568049 1520888
157372,657183 784737 1386412 1162250 1244196
157411,416914 1188603 1352448 2755931 2478168
157436,278162 111570 486951 605104 647971
158275,2778525 1244196 1386412 657183 2791339
158445,2778525 1244196 1386412 657183 2791339
158466,548067 296723 1003471 1153715 1597791
158759,63688 1950458 337927 788858 983709
158786,324342 691943 784035 978210 1844214
158919,2778525 1244196 1386412 657183 2791339
158944,2778525 1244196 1386412 657183 2791339
159617,1203065 39345 307370 1958004 2435891
159701,1252104 892320 992746 2079382 2106879
159921,1216431 702963 2415538 2830138 1317818
160502,2718899 213964 1580438 173261 512145
160533,408876 422296 432493 1042767 1340818
160623,458239 639892 2161413 2459844 641342
161242,538069 872187 389610 257496 1774879
161521,266412 1400391 657183 2037855 343377
161612,2353541 2391945 133332 893084 2597076
161662,2778525 1244196 1386412 657183 2791339
162063,2139003 2063876 1657134 1640028 2778525
162457,1409733 1926831 529585 683831 2669918
162510,554226 670600 1509637 937049 612155
162529,33182 207506 598134 640626 1192585
162564,2331715 2232458 2778525 1244196 1386412
162646,1124864 444662 2007476 826940 1104995
164126,2778525 1244196 1386412 657183 2791339
164502,562726 2600575 1426791 1052097 2738978
165095,1173526 901645 1931528 1812156 2494962
166047,1909417 672513 1057453 2358421 2484370
166280,657183 266412 1069281 1443706 1386412
166546,1988490 1887468 2423893 1826292 1743513
166998,1758920 2130753 282824 1022144 147908
167169,2635038 691437 2521990 1519543 2666340
167292,325294 718148 569889 2031981 1140869
167793,291073 1262181 2591123 455563 2512187
167910,1244196 1069281 784737 1047625 2029130
168003,1501048 1369814 81348 214434 366803
168241,823512 2778525 1236122 1183354 1190895
168452,2470778 1405936 1712984 2228294 534770
168573,1749097 479454 1318531 1176158 1423661
168880,2778525 1244196 1386412 657183 2791339
168971,2778525 1244196 1386412 657183 2791339
169437,1124168 1465313 1964480 454732 999798
169786,1679143 2420135 2459081 1576126 1244196
170008,1080265 229304 2419510 1382652 2287892
170333,134432 1328888 2142945 512253 1519625
170601,1244196 1047625 468120 1679143 2459081
170611,182754 131889 2159449 484535 259359
170666,625711 2734883 1636910 2516900 306921
171078,2778525 1244196 1386412 657183 2791339
171152,369497 476469 2101279 2385399 210900
171375,918161 678167 1812520 114762 272659
171516,2031981 569889 266412 1443706 72465
172325,718582 2054802 1317915 2554014 2144834
172413,1173526 2494962 1812156 2300134 1926513
172636,1022165 186983 443864 1040078 1070455
173125,2423973 2459081 1809836 1679143 468120
173245,2778525 1244196 1386412 657183 2791339
173555,386148 836052 926097 1611347 1825750
174181,1437332 541220 2654651 1281736 403608
174608,2474065 438469 1756743 344352 36053
174882,2778525 1244196 1386412 657183 2791339
175027,53591 245725 268879 476704 530492
175162,2778525 1244196 1386412 657183 2791339
175344,551524 2290147 2765665 391094 2621814
175369,2778525 1244196 1386412 657183 2791339
175546,828051 1078977 576426 1732140 574969
175644,2268052 1130555 297006 1052678 1556736
175696,2533314 1414122 109931 2470216 342698
176268,115485 1687326 3459 1728212 129490
176638,1574295 964898 276031 766060 461272
177089,2778525 1244196 1386412 657183 2791339
177373,2547597 1936073 2103306 288342 595394
178074,920509 980154 1663821 1753570 2629756
178588,266412 2031981 657183 1244196 1443706
178902,1825152 665747 1854447 2035205 1680209
178946,3008 1686571 2436486 1218114 2774733
179637,1303564 2458178 1561920 609291 687353
179690,823816 1045465 1097841 1825202 168729
179744,1094985 2530342 2700264 1204830 1992780
180411,2778525 1244196 1386412 657183 2791339
180693,1092821 1386412 2198329 536047 784737
180988,1118968 1552003 1947896 1973323 2489151
181348,2328808 2218230 628817 1168494 1295570
181413,1244196 1162250 784737 343377 1386412
181536,1198429 1730546 1887309 1372620 1969234
181782,2466849 2232446 2148301 2057312 794365
182123,1148573 1646680 747434 138422 791402
182147,381947 639237 766086 1244217 1789645
182605,1809836 1576126 2325510 1679143 1244196
182959,1422111 1240553 53378 103803 661506
183367,665436 2311337 1444225 1245359 1491148
183704,2778525 1244196 1386412 657183 2791339
183959,1162250 784737 343377 1069281 1443706
183987,723756 25162 272374 481995 507381
184048,2778525 1244196 1386412 657183 2791339
184787,653600 2759578 2392068 345350 1442170
185441,1238430 1888366 668484 2469911 560744
186401,2204352 1658400 177287 646933 1184118
186899,2759433 147315 1715268 2371142 2403426
186960,2778525 1244196 1386412 657183 2791339
187284,215655 1171752 1847855 1930096 2502223
187935,2417933 1196133 1497762 2335545 1329008
187991,1089456 45553 91193 266009 277667
188190,2411210 998492 986950 955572 974107
188906,2391945 604795 1447547 2312162 1831334
189264,161945 465997 499544 1127309 1417798
189295,766060 2050227 436574 2602816 2334188
189309,2501356 104285 2086265 1768024 972816
189335,2778525 1244196 1386412 657183 2791339
